,Degree,Clustering_coefficient,Eigenvector_centrality,Mean_degree_NN
0,0,0.0,8.191987940150038e-50,0.0
1,13,0.2948717948717949,0.0001090143351710433,60.15384615384615
2,6,0.4,4.187822822856314e-06,18.0
3,64,0.36259920634920634,0.004613281922575482,97.921875
4,6,0.6,9.98650971272728e-05,43.833333333333336
5,42,0.2229965156794425,0.0007214151309029892,41.80952380952381
6,3,0.3333333333333333,6.925150564175051e-05,51.666666666666664
7,2,0.0,8.300094987791114e-07,3.5
8,1,0.0,3.4359687785323065e-43,1.0
9,6,0.5333333333333333,3.059615251556985e-05,13.0
10,18,0.43137254901960786,0.0004310777983216146,79.72222222222223
11,5,0.4,2.4202184855201136e-05,16.6
12,63,0.5074244751664106,0.015283577681616516,214.38095238095238
13,90,0.32309612983770286,0.024461256634678363,230.11111111111111
14,0,0.0,8.191987940150038e-50,0.0
15,32,0.2701612903225806,0.0008961099758536659,48.5625
16,19,0.4619883040935672,0.0022583540983487356,119.78947368421052
17,6,0.7333333333333333,2.5957488905740386e-06,22.666666666666668
18,9,0.7222222222222222,0.0005451573447678716,82.55555555555556
19,1,0.0,4.1896739579796825e-05,90.0
20,8,0.25,0.000710834220673505,101.375
21,2,0.0,1.1329286627064969e-05,26.5
22,68,0.3388937664618086,0.00043386725781806296,39.5735294117647
23,2,1.0,2.60297875197557e-05,39.0
24,8,0.14285714285714285,4.559662153757362e-06,10.125
25,46,0.25024154589371983,0.0028290139337037497,112.69565217391305
26,5,0.1,9.703524756587847e-06,19.8
27,54,0.5150244584206848,0.00029822918879028804,59.05555555555556
28,145,0.09147509578544061,0.010007373894738113,91.89655172413794
29,9,0.5277777777777778,5.9168533927825516e-05,25.22222222222222
30,14,0.6703296703296703,9.760483649372683e-05,63.357142857142854
31,60,0.2570621468926554,0.007399298778292768,113.0
32,1,0.0,5.881313988421415e-05,62.0
33,10,0.3333333333333333,0.0009370324086852123,78.4
34,21,0.1619047619047619,0.00033003045608563403,29.904761904761905
35,19,0.43859649122807015,0.004780880022506193,249.21052631578948
36,18,0.12418300653594772,0.0001569720358440871,53.27777777777778
37,1,0.0,1.1649966221310164e-05,57.0
38,24,0.5289855072463768,0.001199637349144844,87.58333333333333
39,11,0.18181818181818182,0.00011174728703265276,49.54545454545455
40,40,0.16282051282051282,0.00015865359978837785,41.65
41,10,0.2222222222222222,2.554372892225799e-05,23.5
42,3,0.3333333333333333,0.00013395088668236794,107.66666666666667
43,38,0.18349928876244664,0.0006508041988149412,41.10526315789474
44,6,0.13333333333333333,1.2501823856851576e-05,24.666666666666668
45,2,1.0,2.984697555183187e-06,21.5
46,8,0.03571428571428571,6.174528848471207e-05,20.625
47,31,0.3225806451612903,0.003857901621132536,153.1290322580645
48,35,0.1915966386554622,0.0005992709289607349,51.31428571428572
49,3,1.0,1.4648577482896261e-05,22.0
50,8,0.5714285714285714,8.540108980770458e-06,13.5
51,7,0.19047619047619047,0.00019146239535195134,32.142857142857146
52,4,0.0,3.143982484305461e-05,34.5
53,2,0.0,7.891674148399657e-06,9.0
54,38,0.32432432432432434,0.00741864427706758,195.68421052631578
55,106,0.13081761006289308,0.0012013579197447455,68.5754716981132
56,39,0.38866396761133604,0.0008926088456556791,76.6923076923077
57,16,0.2916666666666667,0.000426895131952773,65.875
58,3,1.0,8.112994393402012e-07,18.0
59,17,0.36764705882352944,3.6943202982242826e-05,16.941176470588236
60,13,0.20512820512820512,5.7374919709453645e-05,43.53846153846154
61,11,0.36363636363636365,7.100187291380722e-05,68.72727272727273
62,24,0.15942028985507245,0.0006491888538533363,39.666666666666664
63,13,0.2564102564102564,0.0007031782213280499,69.3076923076923
64,1,0.0,5.029761704837877e-08,6.0
65,54,0.15373864430468204,0.002201560451412148,96.79629629629629
66,12,0.16666666666666666,0.0008266146205731494,134.83333333333334
67,89,0.20658835546475995,0.01378594625714708,136.34831460674158
68,34,0.25133689839572193,0.00012448546544796424,44.11764705882353
69,19,0.3216374269005848,0.0006827803388504495,55.421052631578945
70,60,0.2677966101694915,0.005181681498976144,120.66666666666667
71,55,0.17104377104377105,0.0008034119050142225,55.763636363636365
72,21,0.3380952380952381,0.0023200380605739616,111.9047619047619
73,5,0.2,2.839823047791995e-06,6.6
74,15,0.3238095238095238,6.208034967392804e-05,32.6
75,46,0.21256038647342995,0.003235148209515692,95.93478260869566
76,11,0.16363636363636364,0.00012197799715928878,54.0
77,39,0.14709851551956815,0.004155313347852184,122.92307692307692
78,5,0.4,7.820340231307177e-05,19.2
79,26,0.9261538461538461,0.0002547571853581798,74.07692307692308
80,108,0.3359293873312565,0.004926988286986528,100.96296296296296
81,7,0.6190476190476191,0.00037447973320861106,60.857142857142854
82,43,0.2248062015503876,0.002521416783211906,87.25581395348837
83,28,0.31216931216931215,3.7882070089526143e-05,27.928571428571427
84,1,0.0,1.6481031772871987e-08,2.0
85,94,0.26744452070464425,0.0016002484736651462,83.91489361702128
86,0,0.0,8.191987940150038e-50,0.0
87,207,0.2013507809202195,0.029555275188927504,128.90821256038646
88,2,0.0,1.3927309746839142e-07,5.0
89,7,0.42857142857142855,0.00013740276087587062,46.0
90,98,0.20408163265306123,0.0037066819029570285,78.3265306122449
91,28,0.4021164021164021,0.0001520428207031299,32.035714285714285
92,5,0.4,4.7786073919485976e-05,36.6
93,4,0.3333333333333333,1.9592615231056775e-07,13.25
94,18,0.5816993464052288,2.9334779950960646e-05,29.88888888888889
95,12,0.5454545454545454,0.0011022081599397946,149.83333333333334
96,86,0.08755129958960328,0.00665549895880471,91.30232558139535
97,62,0.40401903754627183,0.0005740497007837172,55.37096774193548
98,28,0.37566137566137564,0.00013879876756418098,40.892857142857146
99,27,0.6153846153846154,0.001972939776189494,193.96296296296296
100,16,0.75,0.0012734932350405303,210.75
101,13,0.5897435897435898,4.894350718511713e-06,19.692307692307693
102,66,0.4027972027972028,0.0030759134100389984,86.15151515151516
103,155,0.10640971931294511,0.019420777858984047,126.63225806451612
104,14,0.37362637362637363,0.00011509792945131999,59.214285714285715
105,10,0.15555555555555556,6.446446040006186e-06,17.8
106,53,0.19811320754716982,0.005337357527160953,96.60377358490567
107,63,0.30721966205837176,0.001373321199045781,63.26984126984127
108,33,0.35795454545454547,0.0005504147745973352,97.06060606060606
109,24,0.1956521739130435,0.00013133964247884233,15.75
110,80,0.20221518987341772,0.00032101473098626913,52.25
111,74,0.2676786375416512,0.006159851559389678,92.77027027027027
112,14,0.3076923076923077,0.00010014491913896747,63.142857142857146
113,2,0.0,0.000778632883816059,313.0
114,21,0.35714285714285715,0.00016183339296118836,58.142857142857146
115,9,0.25,0.00042759200977834444,67.66666666666667
116,88,0.30407523510971785,0.0029603748367892707,64.06818181818181
117,18,0.3464052287581699,9.093796578631247e-05,54.44444444444444
118,1,0.0,2.679803969183754e-06,23.0
119,26,0.28307692307692306,0.00020810970730890312,56.69230769230769
120,98,0.35325057858194825,0.012654858999213238,121.98979591836735
121,4,0.0,0.00011273436785967547,38.75
122,22,0.5151515151515151,0.004061096924867343,176.95454545454547
123,121,0.4206611570247934,0.001279800149166538,83.3801652892562
124,11,0.4727272727272727,3.548538222671507e-05,24.181818181818183
125,10,0.2,1.1890733582007209e-05,13.8
126,7,0.3333333333333333,0.0001727935453763595,54.57142857142857
127,212,0.11477242242689797,0.0037124538651347704,71.50943396226415
128,4,0.16666666666666666,3.926555448230394e-06,7.5
129,3,0.0,8.692145544290902e-05,70.66666666666667
130,6,0.6,0.00023673061827825993,50.5
131,45,0.16565656565656567,0.0003884970932091102,42.666666666666664
132,6,0.3333333333333333,1.8837718264143108e-05,41.166666666666664
133,2,1.0,3.9878841286021984e-09,9.0
