,Degree,Clustering_coefficient,Eigenvector_centrality,Mean_degree_NN
0,30,0.004597701149425287,0.006092392191009237,30.433333333333334
1,37,0.0,0.007429268225782479,29.783783783783782
2,29,0.0,0.0061537324676855555,31.75862068965517
3,31,0.002150537634408602,0.006400760094274097,30.70967741935484
4,24,0.0,0.004979462938529211,31.25
5,27,0.0,0.005162616353112601,28.962962962962962
6,33,0.001893939393939394,0.0067012936808769335,30.333333333333332
7,22,0.0,0.004116716337656597,28.227272727272727
8,32,0.0,0.00670798735855767,31.1875
9,31,0.0,0.006701478506639597,32.25806451612903
10,29,0.0024630541871921183,0.005931770242178564,30.862068965517242
11,26,0.0,0.005052266970930297,29.423076923076923
12,21,0.0,0.00430988079964852,31.095238095238095
13,27,0.002849002849002849,0.00566069940764931,31.14814814814815
14,26,0.0,0.005531524593952955,32.11538461538461
15,37,0.0,0.007533066755470757,30.216216216216218
16,16,0.0,0.003275209868213843,31.0625
17,36,0.0,0.0075000576876846515,30.805555555555557
18,27,0.002849002849002849,0.00489368986533788,27.51851851851852
19,19,0.0,0.0036442286242286603,29.526315789473685
20,30,0.004597701149425287,0.006354067117429346,31.533333333333335
21,32,0.0,0.006623762347502129,30.875
22,33,0.0,0.007225240373671851,32.303030303030305
23,21,0.009523809523809525,0.004286228035245725,30.666666666666668
24,28,0.0,0.0059588155565007675,31.928571428571427
25,29,0.0024630541871921183,0.006072107863233337,31.310344827586206
26,30,0.0022988505747126436,0.006253898714873853,31.466666666666665
27,32,0.004032258064516129,0.006650842155507364,30.96875
28,31,0.0064516129032258064,0.006367998049097428,30.774193548387096
29,24,0.0,0.004702140197930058,29.5
30,24,0.0,0.005396982274519176,33.416666666666664
31,25,0.0033333333333333335,0.005026154094379525,30.4
32,42,0.0011614401858304297,0.008563296192072483,30.047619047619047
33,32,0.0,0.006552107213460358,30.84375
34,33,0.0,0.006590649446921618,29.696969696969695
35,33,0.003787878787878788,0.0071075510280675346,32.27272727272727
36,21,0.0,0.004234403339528444,30.476190476190474
37,38,0.0,0.007903363909115719,30.55263157894737
38,29,0.0024630541871921183,0.006068838398015224,31.20689655172414
39,35,0.0016806722689075631,0.007043920761583568,30.057142857142857
40,36,0.0,0.007251059941873671,29.72222222222222
41,34,0.0,0.006932140348121606,30.294117647058822
42,28,0.0026455026455026454,0.005737256147885367,30.785714285714285
43,34,0.0035650623885918,0.007395508457968315,32.029411764705884
44,23,0.0,0.004700376200481977,31.043478260869566
45,31,0.002150537634408602,0.006144902977465933,29.806451612903224
46,32,0.0020161290322580645,0.00670539352482879,31.125
47,32,0.0020161290322580645,0.006653053745931607,30.90625
48,33,0.0,0.006984990024004975,31.393939393939394
49,34,0.0,0.006680725390792774,29.323529411764707
50,25,0.0,0.00534929838995587,31.96
51,32,0.0,0.006868268609850246,31.40625
52,31,0.0,0.006470407040569349,31.29032258064516
53,26,0.0,0.005527706980129631,32.19230769230769
54,29,0.0024630541871921183,0.006127236003897605,31.20689655172414
55,33,0.0,0.007057944833144856,32.03030303030303
56,24,0.0,0.004780015241320945,29.833333333333332
57,36,0.0,0.007260521496939646,29.97222222222222
58,34,0.0,0.007305734895405961,31.970588235294116
59,28,0.005291005291005291,0.0059561117080829794,32.07142857142857
60,34,0.0,0.007176682539242381,31.323529411764707
61,34,0.0,0.00739817778030034,32.411764705882355
62,32,0.0,0.006200847087408553,29.0
63,26,0.003076923076923077,0.005465829808941174,31.615384615384617
64,39,0.0,0.007836255610794672,29.743589743589745
65,24,0.0036231884057971015,0.004928533094977092,30.791666666666668
66,27,0.002849002849002849,0.005609332133085907,30.925925925925927
67,26,0.0,0.005017560570996594,29.153846153846153
68,23,0.0,0.004912644077406761,32.26086956521739
69,39,0.0,0.008034348750876963,30.666666666666668
70,24,0.0036231884057971015,0.004786585930337399,30.041666666666668
71,22,0.0,0.00446860317683383,30.636363636363637
72,25,0.0,0.004691923496244394,28.52
73,23,0.0,0.005091808816928094,32.65217391304348
74,28,0.0,0.0058730573032644865,31.428571428571427
75,26,0.0,0.005055306064248321,29.346153846153847
76,31,0.0,0.006367592615002125,30.548387096774192
77,26,0.0,0.005021357048674706,29.115384615384617
78,35,0.0,0.0077472468746798695,32.68571428571428
79,33,0.001893939393939394,0.007186821813821758,32.45454545454545
