,Degree,Clustering_coefficient,Eigenvector_centrality,Mean_degree_NN
0,0,0.0,1.127445445812729e-57,0.0
1,13,0.2948717948717949,0.00010891186141919027,59.84615384615385
2,6,0.4,5.1197395530876206e-06,18.0
3,63,0.36610343061955963,0.004271561269162088,87.42857142857143
4,6,0.6,0.00011002406493846689,43.5
5,42,0.2229965156794425,0.0008078882661832318,41.595238095238095
6,3,0.3333333333333333,8.138397503397063e-05,51.333333333333336
7,2,0.0,9.409430847015368e-07,3.5
8,1,0.0,7.56615830904658e-50,1.0
9,6,0.5333333333333333,3.178195432450166e-05,12.833333333333334
10,18,0.43137254901960786,0.0005365212533631939,79.61111111111111
11,5,0.4,2.1642261020971358e-05,16.4
12,61,0.49508196721311476,0.0157284305718912,195.70491803278688
13,87,0.301523656776263,0.024104398091336326,209.67816091954023
14,0,0.0,1.127445445812729e-57,0.0
15,32,0.2701612903225806,0.0009511336434793752,48.0625
16,19,0.4619883040935672,0.002612689294250274,118.73684210526316
17,6,0.7333333333333333,3.2134598268752273e-06,22.666666666666668
18,9,0.7222222222222222,0.0006199181358139219,82.0
19,1,0.0,4.8145630759833254e-05,89.0
20,8,0.25,0.0007846875784770423,100.125
21,2,0.0,1.3018129387661136e-05,26.5
22,68,0.3388937664618086,0.0004766821176502633,39.48529411764706
23,2,1.0,2.4619134612467612e-05,38.5
24,8,0.14285714285714285,5.2142681238735145e-06,10.125
25,46,0.25024154589371983,0.003046891340282493,111.71739130434783
26,5,0.1,8.514747292954944e-06,19.6
27,54,0.5150244584206848,0.000363225095139903,59.05555555555556
28,143,0.08884073672806067,0.00941039526565646,82.23776223776224
29,9,0.5277777777777778,7.06088964731575e-05,25.22222222222222
30,14,0.6703296703296703,0.0001182243008658527,63.357142857142854
31,59,0.2571595558153127,0.007431052773901429,101.23728813559322
32,1,0.0,6.472930226800167e-05,61.0
33,10,0.3333333333333333,0.0010518844637221888,77.5
34,21,0.1619047619047619,0.00036378690101513273,29.61904761904762
35,17,0.38235294117647056,0.003644684784171503,190.58823529411765
36,18,0.12418300653594772,0.00018843628812093759,53.27777777777778
37,1,0.0,1.347551403659837e-05,57.0
38,24,0.5289855072463768,0.0013717567255853078,87.16666666666667
39,11,0.18181818181818182,0.00012266495434771663,49.36363636363637
40,40,0.16282051282051282,0.00017357431629205666,41.6
41,10,0.2222222222222222,3.022701413625505e-05,23.5
42,3,0.3333333333333333,0.00014465450259605478,106.66666666666667
43,38,0.18349928876244664,0.0007483920819462863,40.89473684210526
44,6,0.13333333333333333,1.4676109092167815e-05,24.666666666666668
45,2,1.0,3.71269024778685e-06,21.5
46,8,0.03571428571428571,6.655888634707506e-05,20.5
47,30,0.30114942528735633,0.0032678175467487527,132.76666666666668
48,35,0.1915966386554622,0.000616592541022245,50.97142857142857
49,3,1.0,1.7640412769564155e-05,22.0
50,8,0.5714285714285714,9.177750545785904e-06,13.5
51,7,0.19047619047619047,0.00021272951280190168,31.714285714285715
52,4,0.0,3.6631979571511744e-05,34.5
53,2,0.0,9.164633719687872e-06,9.0
54,36,0.30793650793650795,0.006652483520098782,165.33333333333334
55,106,0.13081761006289308,0.0014327332769912416,68.41509433962264
56,39,0.38866396761133604,0.0010009968919346755,76.41025641025641
57,16,0.2916666666666667,0.0004727064634628356,65.5625
58,3,1.0,8.913286605834714e-07,18.0
59,17,0.36764705882352944,4.522579577745495e-05,16.941176470588236
60,13,0.20512820512820512,7.35240735894376e-05,43.53846153846154
61,11,0.36363636363636365,9.153964901346188e-05,68.72727272727273
62,24,0.15942028985507245,0.0007624055424493586,39.458333333333336
63,13,0.2564102564102564,0.0008256545132121695,68.84615384615384
64,1,0.0,6.437359101496154e-08,6.0
65,53,0.1567489114658926,0.001821070658541551,85.49056603773585
66,12,0.16666666666666666,0.0009095488976927946,133.66666666666666
67,87,0.198342689120556,0.013613595438086936,121.01149425287356
68,34,0.25133689839572193,0.0001479055621995271,44.088235294117645
69,19,0.3216374269005848,0.000738697032607485,55.0
70,59,0.2682641729982466,0.004841824572884039,109.62711864406779
71,55,0.17104377104377105,0.0008445538065810458,55.45454545454545
72,21,0.3380952380952381,0.002555444271082915,110.38095238095238
73,5,0.2,3.4456970865174767e-06,6.6
74,15,0.3238095238095238,7.70529706440193e-05,32.6
75,45,0.21515151515151515,0.0030381781811508334,82.35555555555555
76,11,0.16363636363636364,0.00014892877511733275,54.0
77,39,0.14709851551956815,0.004507502340591231,121.58974358974359
78,5,0.4,9.709390851864183e-05,19.2
79,26,0.9261538461538461,0.0002919813697482465,74.03846153846153
80,107,0.3413859989419855,0.004490480645548133,94.48598130841121
81,7,0.6190476190476191,0.0004247970333124562,60.285714285714285
82,43,0.2248062015503876,0.002923444717052035,86.5813953488372
83,28,0.31216931216931215,4.299765841846287e-05,27.892857142857142
84,1,0.0,2.281838348062461e-08,2.0
85,93,0.2716222533894343,0.001058515624351221,76.91397849462365
86,0,0.0,1.127445445812729e-57,0.0
87,205,0.19928263988522238,0.03268094027861445,122.00487804878048
88,2,0.0,1.6740748708319624e-07,5.0
89,7,0.42857142857142855,0.00014847159842065185,45.714285714285715
90,98,0.20408163265306123,0.00401440776747909,77.78571428571429
91,28,0.4021164021164021,0.00017289461181529888,31.964285714285715
92,5,0.4,5.528034112434859e-05,36.4
93,4,0.3333333333333333,2.683797680463963e-07,13.25
94,18,0.5816993464052288,3.3674082117869e-05,29.88888888888889
95,11,0.509090909090909,0.0007603428450696671,97.0909090909091
96,85,0.0865546218487395,0.006607209017893117,83.01176470588236
97,62,0.40401903754627183,0.0006700156263364558,55.274193548387096
98,28,0.37566137566137564,0.00012783044657495757,40.714285714285715
99,26,0.5938461538461538,0.001850918737992362,173.03846153846155
100,15,0.7238095238095238,0.0010313778052093733,176.26666666666668
101,13,0.5897435897435898,6.037099187446752e-06,19.692307692307693
102,66,0.4027972027972028,0.00357415022656433,85.66666666666667
103,154,0.10338680926916222,0.020572612996274203,121.27272727272727
104,14,0.37362637362637363,0.00011766665807918626,59.0
105,10,0.15555555555555556,7.71834585024802e-06,17.8
106,53,0.19811320754716982,0.006110439994241716,95.64150943396227
107,63,0.30721966205837176,0.00144202612944253,62.888888888888886
108,33,0.35795454545454547,0.0006626562272335955,96.87878787878788
109,24,0.1956521739130435,0.00015788275372596205,15.708333333333334
110,80,0.20221518987341772,0.00038953584991424347,52.225
111,73,0.2610350076103501,0.00657212049774278,83.93150684931507
112,14,0.3076923076923077,0.0001045227397635691,63.0
113,2,0.0,0.0008908834156529522,310.0
114,21,0.35714285714285715,0.00019562077223890347,58.095238095238095
115,9,0.25,0.0004983357067481959,67.11111111111111
116,88,0.30407523510971785,0.00340343944638103,63.78409090909091
117,18,0.3464052287581699,0.00011188406248267183,54.44444444444444
118,1,0.0,3.2385086682826846e-06,23.0
119,26,0.28307692307692306,0.00024936118212549744,56.65384615384615
120,97,0.3429982817869416,0.013527323308714685,114.57731958762886
121,4,0.0,0.00013137477783369428,38.5
122,21,0.4857142857142857,0.004091336020716078,151.61904761904762
123,121,0.4206611570247934,0.0015329851982198675,83.28099173553719
124,11,0.4727272727272727,4.267398497412847e-05,24.181818181818183
125,10,0.2,7.498556321384418e-06,13.6
126,7,0.3333333333333333,0.00019386128487194017,54.285714285714285
127,212,0.11477242242689797,0.004254361451422336,71.34905660377359
128,4,0.16666666666666666,4.511890560402334e-06,7.5
129,3,0.0,0.00010243390647794003,70.33333333333333
130,6,0.6,0.00025406876183077585,49.666666666666664
131,45,0.16565656565656567,0.0004108415982200059,42.51111111111111
132,6,0.3333333333333333,2.2274674195074274e-05,41.166666666666664
133,2,1.0,5.510224775700099e-09,9.0
134,5,0.1,1.0021255311791754e-05,15.4
135,1,0.0,3.4494372701369875e-06,23.0
136,8,0.5,0.00014577960337419134,64.375
137,21,0.47619047619047616,9.235773116831843e-05,28.38095238095238
138,9,0.16666666666666666,2.3736811469643556e-05,24.11111111111111
139,0,0.0,1.127445445812729e-57,0.0
140,6,0.26666666666666666,0.0004886589703801175,80.83333333333333
141,78,0.2883782883782884,0.0068782008098253475,120.5
142,40,0.07051282051282051,0.0018496626787967204,54.175
143,34,0.44028520499108736,0.006424437347633585,174.44117647058823
144,27,0.29914529914529914,0.0008339446243822194,69.5925925925926
145,118,0.27741561639866724,0.015170129875059536,129.07627118644066
146,29,0.4433497536945813,0.0005067600701588687,33.172413793103445
147,32,0.5282258064516129,0.00036754923630837646,48.15625
148,78,0.3386613386613387,0.02306774257945553,210.71794871794873
149,2,1.0,8.665528512893186e-06,75.5
150,42,0.43902439024390244,0.00025446461622631464,44.5
151,51,0.323921568627451,0.002856825420214065,75.3529411764706
152,14,0.3516483516483517,3.682283660839729e-05,32.57142857142857
153,21,0.2904761904761905,2.339932474799365e-05,19.857142857142858
154,81,0.687962962962963,0.0022570135255775008,120.08641975308642
155,56,0.4038961038961039,0.010661287973902887,154.21428571428572
156,101,0.16554455445544555,0.008679692871907623,120.02970297029702
157,16,0.23333333333333334,0.0009884896603480635,53.875
158,10,0.17777777777777778,0.00013028453287823217,23.3
159,19,0.5380116959064327,0.00046172033523704433,46.578947368421055
160,7,0.38095238095238093,3.289235591419741e-05,35.42857142857143
161,1,0.0,1.0555448137443081e-08,5.0
162,112,0.5088481338481339,0.0011827242618398293,81.45535714285714
163,6,0.13333333333333333,4.94773217571663e-05,46.166666666666664
164,212,0.23848698918000535,0.014380170362970467,127.85377358490567
165,4,0.0,1.4547435686144741e-05,28.0
166,27,0.17663817663817663,0.00028231311120051556,62.7037037037037
167,4,0.3333333333333333,2.309226511549208e-06,4.5
168,8,0.35714285714285715,6.446470761761691e-05,28.5
169,24,0.4311594202898551,0.0020649076677550617,69.375
170,2,1.0,1.140313899195406e-07,4.0
171,4,0.16666666666666666,1.4941438730737454e-05,16.5
172,10,0.37777777777777777,0.0009062313777213068,107.4
173,43,0.12403100775193798,0.0019128078613704126,73.20930232558139
174,14,0.8241758241758241,0.00012250913157381264,33.785714285714285
175,6,1.0,7.882721195773574e-06,47.833333333333336
176,1,0.0,7.56615830904658e-50,1.0
177,3,1.0,0.0001627323350677859,49.0
178,14,0.4835164835164835,1.5876442574738415e-05,21.785714285714285
179,3,0.0,5.023217287980518e-05,12.666666666666666
180,8,0.14285714285714285,1.2248189215103169e-05,18.25
181,13,0.2692307692307692,0.0018790014515305147,158.46153846153845
182,18,0.8104575163398693,0.00023548835261728718,32.166666666666664
183,5,0.1,2.5008172208432083e-05,19.0
184,3,1.0,9.293727232848574e-05,80.33333333333333
185,9,0.3611111111111111,0.00021492613684294805,40.77777777777778
186,230,0.09382950446174293,0.02911188167845121,111.43913043478261
187,56,0.3246753246753247,0.004739346606832474,102.94642857142857
188,1,0.0,1.0666195591503132e-06,8.0
189,9,0.25,9.68530935090935e-05,61.0
190,5,0.4,5.562716428136031e-05,76.2
191,6,0.4666666666666667,1.2059561469704862e-06,11.5
