,Degree
0,3
1,9
2,7
3,12
4,7
5,3
6,8
7,21
8,180
9,129
10,7
11,15
12,14
13,5
14,9
15,118
16,12
17,47
18,50
19,15
20,17
21,33
22,4
23,21
24,15
25,6
26,5
27,69
28,5
29,10
30,33
31,20
32,20
33,52
34,19
35,12
36,12
37,23
38,6
39,6
40,8
41,33
42,9
43,6
44,6
45,14
46,6
47,8
48,8
49,23
50,48
51,20
52,6
53,16
54,9
55,3
56,15
57,4
58,2407
59,8
60,49
61,10
62,9
63,9
64,67
65,11
66,38
67,6
68,7
69,26
70,6
71,10
72,7
73,11
74,9
75,11
76,8
77,4
78,22
79,36
80,10
81,18
82,10
83,10
84,5
85,8
86,11
87,6
88,57
89,25
90,42
91,9
92,44
93,161
94,5
95,17
96,14
97,7
98,11
99,13
100,12
101,45
102,7
103,3
104,7
105,22
106,17
107,10
108,18
109,13
110,6
111,31
112,6
113,11
114,5
115,13
116,15
117,24
118,29
119,8
120,8
121,9
122,4
123,4
124,12
125,8
126,27
127,5
128,8
129,19
130,55
131,7
132,66
133,11
134,19
135,23
136,11
137,8
138,18
139,20
140,12
141,12
142,4
143,51
144,9
145,10
146,12
147,19
148,8
149,19
150,24
151,20
152,9
153,10
154,22
155,11
156,6
157,9
158,9
159,5
160,7
161,7
162,6
163,12
164,8
165,5
166,9
167,17
168,14
169,12
170,19
171,14
172,12
173,4
174,18
175,302
176,67
177,37
178,36
179,20
180,18
181,30
182,34
183,19
184,26
185,13
186,3
187,11
188,16
189,10
190,10
191,14
192,7
193,37
194,8
195,6
196,25
197,13
198,9
199,15
200,5
201,26
202,4
203,12
204,30
205,14
206,11
207,26
208,21
209,17
210,9
211,14
212,15
213,15
214,22
215,28
216,12
217,40
218,7
219,7
220,5
221,3
222,14
223,3
224,25
225,9
226,38
227,6
228,4
229,10
230,4
231,20
232,6
233,16
234,11
235,9
236,11
237,4
238,11
239,9
240,3
241,13
242,18
243,11
244,68
245,10
246,21
247,8
248,11
249,9
250,25
251,10
252,61
253,6
254,13
255,5
256,6
257,11
258,16
259,4
260,6
261,9
262,13
263,6
264,8
265,20
266,44
267,12
268,17
269,6
270,24
271,9
272,3
273,7
274,5
275,5
276,5
277,9
278,9
279,20
280,90
281,6
282,51
283,7
284,46
285,10
286,111
287,20
288,4
289,4
290,17
291,11
292,17
293,10
294,20
295,28
296,25
297,70
298,6
299,141
300,7
301,55
302,46
303,11
304,6
305,23
306,8
307,20
308,21
309,20
310,19
311,9
312,23
313,9
314,9
315,237
316,5
317,4
318,10
319,10
320,22
321,53
322,33
323,12
324,6
325,6
326,3
327,8
328,62
329,11
330,5
331,14
332,5
333,21
334,5
335,7
336,21
337,11
338,10
339,10
340,11
341,25
342,14
343,225
344,10
345,14
346,15
347,11
348,89
349,14
350,17
351,14
352,3
353,22
354,15
355,17
356,15
357,5
358,12
359,7
360,441
361,5
362,10
363,8
364,104
365,10
366,5
367,17
368,43
369,40
370,7
371,5
372,53
373,16
374,18
375,47
376,3
377,10
378,9
379,8
380,16
381,25
382,16
383,28
384,4
385,4
386,64
387,9
388,8
389,14
390,14
391,8
392,28
393,15
394,15
395,3
396,12
397,4
398,6
399,11
400,19
401,30
402,15
403,11
404,15
405,19
406,3
407,5
408,41
409,14
410,7
411,13
412,6
413,5
414,7
415,16
416,12
417,27
418,20
419,18
420,8
421,13
422,20
423,14
424,11
425,22
426,16
427,10
428,11
429,21
430,27
431,8
432,718
433,26
434,15
435,21
436,33
437,14
438,14
439,6
440,15
441,8
442,8
443,10
444,6
445,5
446,6
447,18
448,17
449,21
450,8
451,9
452,8
453,19
454,8
455,10
456,5
457,15
458,12
459,50
460,5
461,26
462,9
463,11
464,29
465,8
466,22
467,10
468,25
469,23
470,10
471,4
472,10
473,5
474,25
475,6
476,10
477,14
478,4
479,8
480,8
481,6
482,40
483,4
484,9
485,7
486,9
487,10
488,11
489,5
490,24
491,35
492,19
493,9
494,19
495,7
496,8
497,12
498,4
499,22
500,7
501,7
502,13
503,7
504,25
505,13
506,7
507,10
508,29
509,15
510,22
511,8
512,7
513,109
514,14
515,7
516,11
517,7
518,47
519,5
520,18
521,37
522,27
523,9
524,6
525,26
526,16
527,30
528,15779
529,31
530,6
531,8
532,57
533,4
534,38
535,9
536,19
537,42
538,5
539,5
540,26
541,8
542,8
543,5
544,26
545,7
546,7
547,12
548,16
549,8
550,12
551,14
552,12
553,23
554,13
555,5
556,9
557,20
558,13
559,10
560,13
561,38
562,11
563,8
564,129
565,249
566,13
567,56
568,14
569,17
570,8
571,31
572,13
573,4
574,13
575,9
576,11
577,5
578,17
579,8
580,20
581,79
582,12
583,52
584,38
585,37
586,85
587,13
588,26
589,5
590,44
591,4
592,11
593,5
594,10
595,14
596,12
597,8
598,7
599,12
600,15
601,14
602,15
603,6
604,9
605,5
606,7
607,6
608,21
609,7
610,20
611,9
612,4
613,12
614,15
615,7
616,20
617,12
618,15
619,21
620,8
621,22
622,38
623,33
624,22
625,10
626,7
627,27
628,667
629,6
630,28
631,18
632,8
633,22
634,14
635,21
636,7
637,16
638,12
639,6
640,7
641,8
642,12
643,46
644,37
645,23
646,9
647,27
648,11
649,53
650,11
651,17
652,19
653,30
654,11
655,9
656,7
657,8
658,11
659,3
660,23
661,68
662,15
663,23
664,5
665,4
666,6
667,10
668,38
669,8
670,15
671,9
672,11
673,14
674,10
675,4
676,9
677,9
678,10
679,9
680,13
681,5
682,14
683,14
684,26
685,22
686,18
687,5
688,18
689,4
690,7
691,20
692,7
693,7
694,7
695,6
696,9
697,8
698,8
699,25
700,10
701,5
702,10
703,24
704,37
705,9
706,1974
707,6
708,11
709,18
710,6
711,19
712,5
713,70
714,5
715,11
716,13
717,12
718,4
719,4
720,7
721,9
722,11
723,7
724,3
725,5
726,12
727,14
728,11
729,37
730,55
731,12
732,17
733,6
734,7
735,1449
736,4
737,14
738,5
739,16
740,10
741,5
742,16
743,7
744,13
745,7
746,10
747,12
748,22
749,6
750,51
751,7
752,15
753,44
754,14
755,12
756,9
757,7
758,45
759,4
760,3
761,6
762,11
763,20
764,34
765,215
766,14
767,63
768,7
769,11
770,6
771,11
772,9
773,25
774,41
775,8
776,8
777,14
778,15
779,15
780,7
781,20
782,43
783,15
784,29
785,29
786,12
787,9
788,11
789,11
790,12
791,10
792,8
793,13
794,8
795,12
796,18
797,9
798,9
799,44
800,21
801,20
802,5
803,5
804,10
805,9
806,10
807,9
808,38
809,36
810,26
811,466
812,16
813,30
814,6
815,12
816,9
817,5
818,9
819,18
820,10
821,7
822,7
823,15
824,15
825,6
826,5
827,12
828,12
829,9
830,30
831,5
832,54
833,5
834,6
835,14
836,13
837,14
838,21
839,3
840,4
841,10
842,24
843,15
844,30
845,6
846,5
847,7
848,22
849,62
850,11
851,12
852,5
853,13
854,7
855,217
856,158
857,6
858,17
859,20
860,6
861,6
862,6
863,2
864,7
865,6
866,11
867,15
868,7
869,55
870,8
871,47
872,6
873,10
874,15
875,6
876,10
877,6
878,44
879,78
880,15
881,6
882,23
883,4
884,13
885,16
886,6
887,760
888,29
889,24
890,7
891,12
892,13
893,18
894,8
895,116
896,4
897,11
898,15
899,9
900,3
901,16
902,9
903,15
904,6
905,18
906,15
907,27
908,7
909,19
910,46
911,7
912,4
913,7
914,48
915,15
916,21
917,30
918,13
919,14
920,6
921,9
922,14
923,11
924,10
925,4
926,10
927,10
928,7
929,25
930,25
931,16
932,9
933,8
934,10
935,8
936,13
937,21
938,19
939,19
940,11
941,9
942,8
943,31
944,6
945,10
946,17
947,10
948,13
949,11
950,22
951,26
952,20
953,12
954,5
955,6
956,14
957,14
958,10
959,11
960,7
961,17
962,8
963,10
964,56
965,79
966,9
967,20
968,14
969,14
970,17
971,98
972,13
973,18
974,13
975,14
976,10
977,9
978,7
979,24
980,6
981,5
982,6
983,98
984,4
985,7
986,58
987,10
988,8
989,12
990,16
991,11
992,5
993,12
994,51
995,10
996,61
997,17
998,5
999,3
1000,17
1001,28
1002,20
1003,20
1004,17
1005,5
1006,11
1007,7
1008,20
1009,34
1010,6
1011,50
1012,5
1013,8
1014,6
1015,14
1016,20
1017,13
1018,11
1019,4
1020,12
1021,35
1022,39
1023,18
1024,8
1025,8
1026,11
1027,11
