,Degree,Clustering_coefficient,Mean_degree_NN
0,1299,0.013491473232343001,160.8791377983064
1,726,0.01276337038092524,158.48347107438016
2,691,0.01598607353342142,176.11866859623734
3,897,0.01410206641184902,165.57190635451505
4,363,0.017259485868225195,183.13223140495867
5,670,0.013693862525935345,163.46268656716418
6,404,0.014777780507579294,169.68564356435644
7,468,0.012143340837130987,155.41666666666666
8,593,0.01566701608860125,175.1096121416526
9,531,0.01567707778133106,174.53860640301318
10,716,0.014103215220533656,166.6354748603352
11,620,0.016222835999791546,176.10967741935485
12,724,0.013720455743793127,162.6146408839779
13,352,0.01584757834757835,172.85795454545453
14,605,0.012692244540528707,157.64132231404957
15,621,0.01497584541062802,175.09983896940417
16,713,0.015376554202058086,173.1654978962132
17,700,0.012810136930308604,156.05428571428573
18,553,0.015534502188327175,174.9620253164557
19,494,0.01864154848034425,189.82793522267207
20,228,0.012945358992194142,163.21491228070175
21,750,0.013924343569203383,163.04533333333333
22,689,0.01365308671144564,163.0145137880987
23,961,0.013557925771765521,162.52757544224767
24,820,0.01406236040382382,166.32560975609755
25,860,0.014768389419822942,168.73837209302326
26,653,0.01424759721530642,168.29096477794792
27,790,0.013155572668495612,160.63544303797468
28,747,0.013566329661810782,163.11378848728248
29,412,0.01491744029480547,171.34223300970874
30,592,0.01649746192893401,179.3597972972973
31,453,0.019261950809744282,190.23620309050773
32,620,0.01727552243472823,184.5774193548387
33,819,0.013487734759128402,161.98290598290598
34,402,0.018858326819766503,194.5497512437811
35,611,0.01408601862037509,167.3813420621931
36,495,0.014754835807467387,172.66464646464647
37,1074,0.011768462741300344,151.25791433891993
38,1195,0.01598788923697988,174.87280334728032
39,1457,0.013757947611756808,163.98421413864105
40,1484,0.013775166168962528,162.87196765498652
41,1568,0.012474278160530325,154.47576530612244
42,1523,0.013171665647112217,159.5049244911359
43,1304,0.014489921794443215,167.21319018404907
44,1420,0.014511310285958173,167.54225352112675
45,1346,0.01378613211663914,162.84695393759287
46,1383,0.014326329745210866,166.26970354302242
47,1331,0.014091954152850195,164.41322314049586
48,1283,0.013321935839241832,161.12392829306313
49,1105,0.015419043871729293,171.87873303167422
50,1260,0.015013174981403735,170.6547619047619
51,1514,0.01208024509731163,153.1789960369881
52,1001,0.01642157842157842,177.65834165834167
53,1164,0.014472583938327527,166.46821305841925
54,1130,0.01546830541555296,172.61858407079646
55,1336,0.013551548588216824,161.02245508982037
56,1136,0.014946950425017062,169.37411971830986
57,1130,0.015016813375451687,170.90176991150443
58,903,0.017207976368498207,182.54817275747507
59,1010,0.014326506981718985,165.79009900990098
60,1199,0.013329137664804142,159.44787322768974
61,1284,0.013046233637575485,158.39875389408098
62,969,0.014219737481769567,165.58926728586172
63,1129,0.012964149532945116,157.42249778565102
64,1078,0.013867284062270134,163.33766233766235
65,971,0.013997685455529957,164.3913491246138
66,1132,0.013751550427558714,162.5494699646643
67,908,0.014561244165545512,167.00770925110132
68,995,0.014840803615663832,169.1718592964824
69,1098,0.012401764706859077,154.1056466302368
70,846,0.01604767300348315,176.05437352245863
71,1071,0.012954963917030987,158.63678804855275
72,1057,0.012160990223904131,155.42857142857142
73,1197,0.01089261615577405,145.29908103592314
74,1006,0.012573316320979595,157.40357852882704
75,998,0.013033087237664899,158.30160320641284
76,1025,0.014079649390243903,165.34439024390244
77,1012,0.012751042876188019,157.67391304347825
78,1011,0.012721450186561683,157.30365974282887
79,1083,0.012604475484849881,156.97506925207756
80,931,0.012857027361029302,158.5187969924812
81,1104,0.011524892585438921,151.15217391304347
82,952,0.01388410253691382,162.57878151260505
83,813,0.014672289580038658,169.63222632226322
84,620,0.017723695867424043,186.09354838709677
