,Degree,Clustering_coefficient,Mean_degree_NN
0,72,0.23161189358372458,120.75
1,3,0.3333333333333333,12.0
2,20,0.5473684210526316,263.7
3,167,0.6525503210446577,443.8203592814371
4,24,0.19202898550724637,95.625
5,13,0.41025641025641024,80.07692307692308
6,104,0.24701269604182224,310.5
7,0,0.0,0.0
8,272,0.3710929021054916,476.18014705882354
9,33,0.42045454545454547,161.4848484848485
10,32,0.40524193548387094,84.03125
11,7,0.2857142857142857,94.71428571428571
12,159,0.30531008677653054,186.52201257861634
13,449,0.40723433025771555,566.2850779510022
14,0,0.0,0.0
15,0,0.0,0.0
16,84,0.3333333333333333,96.21428571428571
17,20,0.2631578947368421,39.8
18,6,0.06666666666666667,30.166666666666668
19,0,0.0,0.0
20,0,0.0,0.0
21,106,0.5895777178796047,275.3679245283019
22,11,0.18181818181818182,39.90909090909091
23,0,0.0,0.0
24,2,0.0,24.5
25,0,0.0,0.0
26,261,0.3824638962569997,487.7931034482759
27,101,0.20475247524752474,92.21782178217822
28,10,0.4,49.3
29,0,0.0,0.0
30,169,0.24732318963088193,136.20710059171597
31,679,0.35164066538941097,581.0147275405008
32,5,0.5,82.6
33,14,0.18681318681318682,86.85714285714286
34,13,0.23076923076923078,29.923076923076923
35,771,0.3397409335152526,581.5667963683528
36,30,0.335632183908046,62.53333333333333
37,68,0.3999122036874451,414.3382352941176
38,6,0.4,125.66666666666667
39,5,0.3,18.4
40,1,0.0,2.0
41,2,0.0,18.5
42,5,0.6,525.6
43,20,0.11578947368421053,88.85
44,57,0.42606516290726815,463.42105263157896
45,0,0.0,0.0
46,2,0.0,17.0
47,107,0.4933874096279316,615.0654205607476
48,59,0.21274108708357686,79.91525423728814
49,0,0.0,0.0
50,3,0.6666666666666666,38.0
51,179,0.20482078965538886,165.7094972067039
52,150,0.20026845637583893,137.72666666666666
53,235,0.1949809056192035,139.49787234042554
54,11,0.2545454545454545,39.63636363636363
55,32,0.1774193548387097,27.3125
56,26,0.46153846153846156,118.38461538461539
57,6,0.26666666666666666,29.166666666666668
58,32,0.2399193548387097,94.65625
59,61,0.26666666666666666,224.04918032786884
60,15,0.26666666666666666,78.86666666666666
61,157,0.28286787522456314,144.3248407643312
62,3,0.0,36.333333333333336
63,25,0.32,176.4
64,9,0.3888888888888889,45.333333333333336
65,122,0.2228695298740008,162.63114754098362
66,324,0.3750525551351145,526.0771604938271
