,Degree,Clustering_coefficient,Mean_degree_NN
0,72,0.06142410015649452,339.30555555555554
1,3,0.0,185.66666666666666
2,20,0.12105263157894737,486.0
3,167,0.1156482216290311,487.437125748503
4,24,0.036231884057971016,308.3333333333333
5,13,0.0641025641025641,362.53846153846155
6,104,0.08831217326362957,413.9807692307692
7,0,0.0,0.0
8,272,0.07716518341654005,383.2720588235294
9,33,0.06060606060606061,374.54545454545456
10,32,0.08064516129032258,403.03125
11,7,0.0,437.42857142857144
12,159,0.07228723827720723,378.062893081761
13,449,0.07590279987273306,383.89309576837417
14,0,0.0,0.0
15,0,0.0,0.0
16,84,0.0725760183591509,363.75
17,20,0.06315789473684211,304.25
18,6,0.0,344.6666666666667
19,0,0.0,0.0
20,0,0.0,0.0
21,106,0.08104222821203953,394.58490566037733
22,11,0.09090909090909091,394.90909090909093
23,0,0.0,0.0
24,2,1.0,1245.0
25,0,0.0,0.0
26,261,0.09195402298850575,423.191570881226
27,101,0.05524752475247525,334.6237623762376
28,10,0.022222222222222223,396.4
29,0,0.0,0.0
30,169,0.07706396167934629,400.20710059171597
31,679,0.08238733865957659,397.16642120765835
32,5,0.0,159.0
33,14,0.054945054945054944,261.57142857142856
34,13,0.19230769230769232,587.6153846153846
35,771,0.08130105951117625,395.4591439688716
36,30,0.04597701149425287,317.43333333333334
37,68,0.11457418788410886,466.04411764705884
38,6,0.06666666666666667,241.83333333333334
39,5,0.1,452.8
40,1,0.0,941.0
41,2,0.0,336.5
42,5,0.0,300.4
43,20,0.13157894736842105,469.7
44,57,0.11716791979949874,460.89473684210526
45,0,0.0,0.0
46,2,0.0,335.5
47,107,0.11338388291306647,484.98130841121497
48,59,0.08299240210403273,405.77966101694915
49,0,0.0,0.0
50,3,0.3333333333333333,705.6666666666666
51,179,0.0677923545289059,355.1787709497207
52,150,0.06434004474272931,356.17333333333335
53,235,0.05895617384979087,334.86382978723407
54,11,0.16363636363636364,432.72727272727275
55,32,0.12903225806451613,535.6875
56,26,0.06461538461538462,386.9230769230769
57,6,0.0,335.8333333333333
58,32,0.07661290322580645,371.75
59,61,0.06120218579234973,353.04918032786884
60,15,0.20952380952380953,570.0666666666667
61,157,0.06320431161195493,348.7643312101911
62,3,0.3333333333333333,464.0
63,25,0.08333333333333333,388.76
64,9,0.05555555555555555,353.0
65,122,0.09429616583118819,422.172131147541
66,324,0.07879448075526507,390.8611111111111
67,52,0.06711915535444947,354.7307692307692
68,172,0.05392356861145111,313.27906976744185
69,46,0.07536231884057971,372.4130434782609
70,1,0.0,343.0
71,23,0.11462450592885376,403.69565217391306
72,0,0.0,0.0
73,14,0.10989010989010989,396.57142857142856
74,3,0.0,150.66666666666666
75,535,0.08246700969582414,397.0822429906542
76,51,0.043137254901960784,295.62745098039215
77,66,0.06247086247086247,320.95454545454544
78,34,0.053475935828877004,355.8235294117647
79,157,0.06941041972889106,359.03821656050957
80,25,0.043333333333333335,306.36
81,122,0.07790272320823736,373.9590163934426
82,0,0.0,0.0
83,11,0.10909090909090909,426.45454545454544
84,0,0.0,0.0
85,20,0.07894736842105263,475.5
86,0,0.0,0.0
87,116,0.08065967016491754,395.5689655172414
88,35,0.10420168067226891,444.8
89,40,0.08974358974358974,441.6
90,48,0.08421985815602837,349.75
91,3,0.0,77.66666666666667
92,11,0.14545454545454545,443.54545454545456
93,0,0.0,0.0
94,14,0.08791208791208792,422.42857142857144
95,1465,0.06108002760215595,340.92013651877136
96,110,0.08056713928273561,393.2818181818182
97,996,0.06908437771185244,362.6977911646586
98,8,0.10714285714285714,577.125
99,0,0.0,0.0
100,3,0.0,481.0
101,71,0.10945674044265594,466.92957746478874
102,3,0.0,325.3333333333333
103,7,0.09523809523809523,537.1428571428571
104,0,0.0,0.0
105,0,0.0,0.0
106,60,0.0768361581920904,392.85
107,285,0.0810229799851742,400.47719298245613
108,84,0.08835341365461848,404.1547619047619
109,139,0.06860598477739548,371.51079136690646
110,12,0.015151515151515152,335.25
111,85,0.06666666666666667,357.2705882352941
112,42,0.06620209059233449,385.1904761904762
113,0,0.0,0.0
114,22,0.14285714285714285,548.5454545454545
115,15,0.08571428571428572,371.8666666666667
116,1,0.0,544.0
117,37,0.04354354354354354,294.86486486486484
118,29,0.1330049261083744,544.6206896551724
119,245,0.06828370692539311,366.0979591836735
120,312,0.0980913513067854,428.0480769230769
121,41,0.05975609756097561,354.0
122,54,0.08176100628930817,379.85185185185185
123,186,0.06753850624818367,362.19354838709677
124,92,0.08910654562828475,432.1630434782609
125,25,0.03666666666666667,281.56
126,19,0.05847953216374269,293.94736842105266
127,2,0.0,405.0
128,294,0.08019316941793782,398.48639455782313
129,585,0.08158295281582953,395.4769230769231
130,70,0.06376811594202898,351.1142857142857
131,92,0.06497849976110846,388.0108695652174
132,0,0.0,0.0
133,0,0.0,0.0
134,12,0.015151515151515152,173.66666666666666
135,31,0.04086021505376344,262.9032258064516
136,1,0.0,30.0
137,4,0.16666666666666666,405.5
138,4,0.0,354.5
139,0,0.0,0.0
140,76,0.09649122807017543,425.0
141,195,0.0683584456780333,363.1589743589744
142,10,0.022222222222222223,490.2
143,5,0.2,729.0
144,2,1.0,758.0
145,30,0.05747126436781609,310.03333333333336
146,302,0.08675276671580383,413.35099337748346
147,9,0.027777777777777776,259.6666666666667
148,660,0.0743136984411643,374.68333333333334
149,0,0.0,0.0
150,142,0.07421835980421536,380.6056338028169
151,122,0.07356726730795285,376.28688524590166
152,1,0.0,863.0
153,7,0.047619047619047616,405.2857142857143
154,78,0.07825507825507826,387.20512820512823
155,293,0.06498667539389406,353.9249146757679
156,2,0.0,62.5
157,131,0.07821491485613623,387.42748091603056
158,0,0.0,0.0
159,665,0.08371229278014312,400.5112781954887
160,8,0.0,251.625
161,81,0.07993827160493827,383.69135802469134
162,7,0.23809523809523808,731.7142857142857
163,0,0.0,0.0
164,142,0.09449605434022575,435.3732394366197
165,3,0.0,467.0
166,122,0.07898658718330849,387.55737704918033
167,0,0.0,0.0
168,241,0.08485477178423237,397.92946058091286
169,122,0.05934155263514429,333.3360655737705
170,3,0.0,458.0
171,0,0.0,0.0
172,560,0.08977766419626884,416.41607142857146
173,29,0.03940886699507389,269.6896551724138
174,5,0.0,205.0
175,161,0.09440993788819876,433.0745341614907
176,0,0.0,0.0
177,8,0.10714285714285714,369.25
178,48,0.09929078014184398,447.9166666666667
179,3,0.0,386.6666666666667
180,13,0.01282051282051282,206.23076923076923
181,17,0.11764705882352941,395.3529411764706
182,29,0.05665024630541872,361.6896551724138
183,7,0.14285714285714285,388.57142857142856
184,15,0.05714285714285714,297.3333333333333
185,191,0.07362909892532378,376.8848167539267
186,141,0.08216818642350557,407.1985815602837
187,89,0.07201225740551584,376.75280898876406
188,3,0.0,706.6666666666666
189,21,0.11428571428571428,439.0952380952381
190,0,0.0,0.0
191,1,0.0,44.0
192,5,0.0,64.6
193,0,0.0,0.0
194,0,0.0,0.0
195,4,0.3333333333333333,661.5
196,162,0.08381259105896786,401.08024691358025
197,729,0.08381193566378752,400.8093278463649
198,75,0.08684684684684685,418.70666666666665
199,0,0.0,0.0
200,4,0.0,341.5
201,495,0.08389154704944178,404.3272727272727
202,2,0.0,375.0
203,16,0.058333333333333334,441.875
204,35,0.11428571428571428,419.8285714285714
205,14,0.054945054945054944,265.7857142857143
206,6,0.06666666666666667,481.0
207,2,0.0,241.5
208,16,0.05,315.25
209,52,0.07013574660633484,362.63461538461536
210,12,0.06060606060606061,311.3333333333333
211,12,0.18181818181818182,702.4166666666666
212,10,0.0,428.2
213,180,0.09391682184978274,425.6666666666667
214,3,0.0,164.33333333333334
215,0,0.0,0.0
216,0,0.0,0.0
217,138,0.08864910610388237,403.8695652173913
218,4,0.0,130.0
219,2,0.0,532.0
220,98,0.0507048180096781,322.5408163265306
221,4,0.0,130.25
222,44,0.06765327695560254,367.6363636363636
223,54,0.06848357791754019,361.98148148148147
224,220,0.07866334578663346,393.04545454545456
225,13,0.0641025641025641,291.38461538461536
226,265,0.0873642081189251,409.64528301886793
227,14,0.08791208791208792,369.57142857142856
228,27,0.05698005698005698,369.48148148148147
229,27,0.045584045584045586,342.3703703703704
230,1,0.0,286.0
231,37,0.13513513513513514,499.7837837837838
232,0,0.0,0.0
233,230,0.06648946269223467,356.9347826086956
234,81,0.08271604938271605,389.61728395061726
235,343,0.08408777044652448,405.7871720116618
236,0,0.0,0.0
237,25,0.06,353.72
238,94,0.08487760237931824,410.3191489361702
239,337,0.07990674014412887,392.2640949554896
240,2,0.0,87.0
241,38,0.05405405405405406,378.8421052631579
242,16,0.11666666666666667,484.625
243,4,0.0,283.25
244,0,0.0,0.0
245,2,0.0,613.5
246,0,0.0,0.0
247,1,0.0,303.0
248,1,0.0,500.0
249,11,0.0,214.36363636363637
250,21,0.04285714285714286,305.14285714285717
251,16,0.075,475.5
252,0,0.0,0.0
253,1,0.0,729.0
254,8,0.03571428571428571,268.0
255,24,0.09782608695652174,414.5416666666667
256,9,0.027777777777777776,330.22222222222223
257,0,0.0,0.0
258,0,0.0,0.0
259,8,0.07142857142857142,452.875
260,2,0.0,486.5
261,55,0.06868686868686869,348.03636363636366
262,0,0.0,0.0
263,27,0.08262108262108261,352.0740740740741
264,0,0.0,0.0
265,1,0.0,442.0
266,21,0.08571428571428572,383.85714285714283
267,6,0.06666666666666667,419.8333333333333
268,23,0.07509881422924901,396.2173913043478
269,0,0.0,0.0
270,1,0.0,160.0
271,10,0.044444444444444446,389.1
272,725,0.07650600114307488,382.2027586206897
273,64,0.08085317460317461,392.046875
274,270,0.10279498829684704,448.2888888888889
275,0,0.0,0.0
276,14,0.06593406593406594,378.35714285714283
